,EFINVA,EFSIZE,EFMJIE
481,3000,2,2
482,3000,2,1
483,25,1,1
484,19000,3,2
485,19000,3,1
487,0,2,2
488,0,2,1
489,1250,2,1
490,1250,2,2
491,0,3,2
492,0,3,1
493,0,3,2
494,0,1,1
495,50,2,2
496,50,2,1
497,0,4,1
498,0,4,2
499,0,4,2
500,0,4,2
501,50,3,2
502,50,3,1
504,0,1,1
505,0,1,1
506,50,1,1
507,0,2,1
508,0,2,2
509,0,1,1
510,0,1,1
511,850,2,1
512,850,2,2
513,0,5,2
514,0,5,1
518,0,4,1
519,0,4,2
522,0,2,1
523,0,2,2
524,13500,1,1
525,0,3,2
526,0,3,1
528,0,1,1
529,0,1,1
530,0,5,2
531,0,5,1
535,0,2,2
536,0,2,1
537,2325,2,2
538,2325,2,1
539,0,2,1
540,0,2,2
541,42050,3,1
542,42050,3,2
543,42050,3,2
544,0,4,1
545,0,4,2
548,975,2,2
549,975,2,1
550,0,2,2
551,0,2,1
552,450,5,2
553,450,5,1
557,25,5,1
558,25,5,2
562,0,3,1
563,0,3,2
565,0,3,2
566,0,3,1
568,1500,1,1
569,900,1,1
570,200,2,2
571,200,2,1
572,0,3,2
573,0,3,1
574,0,3,2
575,0,1,1
576,0,2,2
577,0,2,1
578,0,5,2
579,0,5,1
583,0,1,1
584,925,1,1
585,25,2,2
586,25,2,1
587,0,3,1
588,0,3,2
589,0,3,2
590,0,3,2
591,0,3,1
593,-475,2,1
594,-475,2,2
595,5250,1,1
596,50,2,1
597,50,2,2
598,12500,2,1
599,12500,2,2
600,0,2,2
601,0,2,1
602,0,2,2
603,0,2,1
604,0,3,1
605,0,3,2
607,0,6,2
608,0,6,1
613,0,6,2
614,0,6,1
615,0,6,2
619,0,1,1
620,2150,2,1
621,2150,2,2
622,25,2,2
623,25,2,1
624,0,3,2
625,0,3,1
627,0,3,2
628,0,3,1
630,0,6,2
631,0,6,1
636,0,1,1
637,8500,1,1
638,175,2,1
639,175,2,2
640,425,1,1
641,300,1,1
642,0,1,1
643,105000,3,1
644,105000,3,2
645,105000,3,2
646,350,2,1
647,350,2,2
648,2475,2,2
649,2475,2,1
650,0,4,1
651,0,4,2
652,0,4,2
654,-25,2,1
655,-25,2,2
656,0,1,1
657,0,2,1
658,0,2,2
659,0,2,2
660,0,2,1
661,0,3,2
662,0,3,1
664,1250,1,1
665,0,1,1
666,0,1,1
667,125,2,2
668,125,2,1
669,375,1,1
670,0,1,1
671,2100,1,1
672,0,4,2
673,0,4,1
676,5750,4,2
677,5750,4,1
680,0,3,1
681,0,3,2
683,0,3,1
684,0,3,2
686,25,1,1
687,250,3,1
688,250,3,2
689,250,3,2
690,0,1,1
691,0,1,1
692,2200,1,1
693,0,3,1
694,0,3,2
696,0,2,1
697,0,2,2
698,0,2,1
700,4800,1,1
701,1400,4,2
702,1400,4,1
705,0,1,1
706,0,4,2
707,0,4,1
710,575,2,1
711,575,2,2
712,0,1,1
713,0,1,1
714,0,2,1
715,0,2,2
716,125,2,1
717,125,2,2
718,13000,3,2
719,13000,3,1
720,13000,3,2
721,575,4,1
722,575,4,2
723,575,4,2
724,575,4,2
725,300,2,1
726,300,2,2
727,0,4,1
728,0,4,2
731,0,2,2
732,0,2,1
733,0,1,1
734,5750,1,1
735,0,1,1
736,0,2,2
737,0,2,1
738,0,1,1
739,0,1,1
740,0,1,1
741,150,2,1
743,425,1,1
744,0,2,1
745,0,2,2
746,0,1,1
747,0,2,2
748,0,2,1
749,85000,1,1
750,0,1,1
751,0,1,1
752,1800,2,2
753,1800,2,1
754,0,5,1
755,0,5,2
759,0,1,1
760,0,2,1
761,0,2,2
762,1350,1,1
763,0,4,2
764,0,4,2
765,0,4,2
766,0,4,1
767,3400,1,1
768,0,1,1
769,425,2,2
770,425,2,1
771,14750,2,1
772,14750,2,2
773,1050,3,1
774,1050,3,2
776,2800,6,2
777,2800,6,1
782,32500,2,1
783,32500,2,2
784,25,2,1
785,25,2,2
786,12750,2,2
787,12750,2,1
788,250,2,1
789,250,2,2
790,0,3,1
793,0,3,2
794,0,3,1
796,0,1,1
797,0,4,2
798,0,4,1
801,0,1,1
802,89500,3,2
803,89500,3,1
804,89500,3,2
805,0,1,1
806,3000,1,1
807,0,4,2
808,0,4,1
811,0,2,1
812,0,2,2
813,50,2,2
814,50,2,1
815,0,1,1
816,0,1,1
817,0,1,1
818,0,2,2
819,0,2,1
820,0,3,2
821,0,3,2
822,0,3,1
823,0,1,1
824,0,3,2
825,0,3,1
827,0,2,1
828,0,1,1
830,0,3,2
831,0,3,1
832,0,3,2
833,0,5,1
834,0,5,2
838,25500,2,1
839,25500,2,2
840,0,3,2
841,0,3,1
842,0,3,2
843,115450,2,1
844,115450,2,2
845,-8500,2,1
846,-8500,2,2
847,7975,2,1
848,7975,2,2
849,50,5,2
850,50,5,1
851,50,5,2
852,50,5,2
854,3225,5,2
855,3225,5,2
856,3225,5,1
857,3225,5,2
859,0,5,2
860,0,5,1
861,0,5,2
864,25,2,1
865,25,2,2
866,0,1,1
867,23000,2,1
868,23000,2,2
869,1600,2,1
870,1600,2,2
871,0,1,1
872,3875,6,2
873,3875,6,2
874,3875,6,1
875,3875,6,2
876,3875,6,2
877,3875,6,2
878,0,5,2
879,0,5,1
880,0,5,2
883,275,1,1
884,225,4,1
885,225,4,2
886,225,4,2
888,0,4,2
889,0,4,1
892,0,1,1
893,7950,4,2
894,7950,4,1
897,0,3,2
898,0,3,2
899,0,3,1
900,3700,2,2
901,3700,2,1
902,0,1,1
903,1775,2,2
904,1775,2,1
905,8400,2,2
906,8400,2,1
907,0,1,1
908,8000,2,2
909,8000,2,1
910,0,3,2
911,0,3,1
913,2900,5,1
914,2900,5,2
918,0,2,1
919,0,2,2
920,0,1,1
921,0,3,2
922,0,3,1
923,0,3,2
924,0,3,2
925,0,3,1
927,0,1,1
928,0,1,1
929,0,1,1
930,9550,2,2
931,9550,2,1
932,0,6,1
933,0,6,2
938,1850,3,1
939,1850,3,2
941,0,5,2
942,0,5,1
946,1250,5,1
947,1250,5,2
948,1250,5,2
951,20500,2,2
952,20500,2,1
953,500,2,2
954,500,2,1
955,2300,2,1
956,2300,2,2
957,625,1,1
958,1050,1,1
959,5200,2,2
960,5200,2,1
961,0,1,1
962,0,1,1
963,0,1,1
964,5250,1,1
965,0,1,1
966,0,4,1
970,6000,2,2
971,6000,2,1
972,850,4,1
973,850,4,2
976,0,3,1
977,0,3,2
979,275,4,1
980,275,4,2
983,0,5,2
984,0,5,1
988,47600,3,2
989,47600,3,1
991,0,5,1
996,0,1,1
997,0,1,1
998,300000,4,1
999,300000,4,2
1002,0,1,1
1003,13000,2,1
1004,13000,2,2
1005,0,1,1
1006,54050,5,1
1007,54050,5,2
1008,54050,5,2
1009,54050,5,2
1010,54050,5,2
1011,25,1,1
1012,0,2,1
1014,28500,2,1
1015,28500,2,2
1016,0,5,2
1017,0,5,1
1018,0,5,2
1019,0,5,2
1020,0,5,2
1021,0,4,1
1022,0,4,2
1025,0,2,1
1026,0,2,2
1027,7250,4,1
1028,7250,4,2
1031,2450,3,1
1032,2450,3,2
1033,2450,3,2
1034,0,2,1
1036,0,2,1
1037,0,2,2
1038,200,1,1
1039,-4500,2,1
1040,-4500,2,2
1041,0,2,1
1043,2500,4,1
1046,2500,4,2
1047,0,3,1
1048,0,3,2
1049,0,3,2
1050,100,4,2
1051,100,4,1
1052,100,4,2
1053,100,4,2
1054,0,7,2
1055,0,7,1
1061,0,3,1
1064,0,1,1
1065,130000,3,1
1066,130000,3,2
1067,130000,3,2
1068,14500,1,1
1069,0,2,2
1070,0,2,1
1071,0,1,1
1072,0,3,1
1073,0,3,2
1075,0,4,1
1076,0,4,2
1079,0,1,1
1080,50,4,1
1083,50,4,2
1084,0,1,1
1085,1250,2,1
1086,1250,2,2
1087,1400,6,2
1088,1400,6,1
1089,1400,6,2
1093,0,2,2
1094,0,2,1
1095,0,1,1
1096,475,1,1
1097,0,3,1
1098,0,3,2
1100,0,3,2
1101,0,3,1
1103,0,2,1
1104,0,2,2
1105,0,2,2
1106,0,2,1
1107,0,3,1
1110,0,5,2
1111,0,5,1
1114,0,5,2
1115,1600,2,1
1116,1600,2,2
1117,2250,2,2
1118,2250,2,1
1119,50,2,1
1120,50,2,2
1121,0,1,1
1122,0,2,1
1123,0,2,2
1124,0,3,1
1125,0,3,2
1127,0,1,1
1128,6750,1,1
1129,31000,3,1
1130,31000,3,2
1132,0,4,1
1136,2300,2,1
1137,2300,2,2
1138,2800,3,2
1139,2800,3,1
1140,2800,3,2
1141,0,1,1
1142,51500,5,2
1143,51500,5,1
1147,0,4,1
1148,0,4,2
1151,0,3,2
1152,0,3,1
1153,0,3,2
1154,132500,2,1
1155,132500,2,2
1156,0,1,1
1157,0,2,2
1158,0,2,1
1159,525,6,1
1160,525,6,2
1161,525,6,2
1162,525,6,2
1163,525,6,2
1164,525,6,2
1165,475,2,2
1166,475,2,1
1167,0,1,1
1168,0,5,1
1169,0,5,2
1173,0,3,1
1174,0,3,2
1176,500,1,1
1177,0,1,1
1178,3300,1,1
1179,0,3,1
1180,0,3,2
1181,0,3,2
1182,0,5,2
1183,0,5,1
1184,0,5,2
1187,0,1,1
1188,4000,1,1
1189,-3500,3,2
1190,-3500,3,1
1192,0,1,1
1193,0,1,1
1194,16700,2,1
1195,16700,2,2
1196,1150,2,1
1197,1150,2,2
1198,200,3,2
1199,200,3,1
1201,0,1,1
1202,-25,1,1
1203,0,3,2
1204,0,3,1
1206,1350,2,2
1207,1350,2,1
1208,0,4,2
1209,0,4,2
1210,0,4,1
1211,0,4,2
1212,575,3,2
1213,575,3,1
1214,575,3,2
1215,850,3,2
1216,850,3,1
1218,225,2,1
1219,225,2,2
1220,0,4,2
1221,0,4,1
1223,0,4,2
1224,50,5,1
1225,50,5,2
1229,825,1,1
1230,4900,2,1
1231,4900,2,2
1232,0,2,2
1233,0,2,1
1234,0,2,1
1235,0,2,2
1236,0,2,2
1237,0,2,1
1238,0,1,1
1239,0,1,1
1240,2050,2,1
1241,2050,2,2
1242,0,1,1
1243,6750,1,1
1244,0,1,1
1245,0,3,1
1246,0,3,2
1248,0,3,1
1249,0,3,2
1250,0,3,2
1251,0,5,1
1252,0,5,2
1253,0,5,2
1256,117500,2,1
1257,117500,2,2
1258,1350,3,2
1259,1350,3,1
1260,1350,3,2
