,EFINVA,EFSIZE,EFMJIE
14385,0,5,2
14386,0,5,2
14388,0,5,2
14389,0,5,1
14390,145125,2,2
14391,145125,2,1
14392,0,5,2
14393,0,5,1
14394,0,5,2
14397,0,1,1
14398,850,1,1
14399,0,1,1
14400,0,3,1
14401,0,3,2
14402,0,3,2
14403,0,5,1
14404,0,5,2
14408,125,6,1
14409,125,6,2
14410,125,6,2
14411,125,6,2
14412,125,6,2
14413,125,6,2
14414,0,2,2
14415,0,2,1
14416,25,2,1
14417,25,2,2
14418,0,4,2
14419,0,4,2
14420,0,4,1
14422,0,2,1
14423,0,2,2
14424,12500,2,2
14425,12500,2,1
14426,3300,2,2
14427,3300,2,1
14428,6400,4,1
14429,6400,4,2
14430,6400,4,2
14431,6400,4,2
14432,1050,3,2
14433,1050,3,1
14434,1050,3,2
14435,0,1,1
14436,17500,2,1
14437,17500,2,2
14438,300,2,1
14439,300,2,2
14440,0,1,1
14441,125,3,1
14442,125,3,2
14443,125,3,2
14444,0,2,1
14445,0,2,2
14446,50,2,2
14447,50,2,1
14448,0,2,2
14449,0,2,1
14450,0,2,1
14451,0,2,2
14452,0,1,1
14453,2300,2,1
14454,2300,2,2
14455,50,5,2
14456,50,5,1
14460,0,1,1
14461,525,1,1
14462,0,2,1
14463,0,2,2
14464,0,2,1
14466,0,3,1
14467,0,3,2
14469,325,4,1
14470,325,4,2
14471,325,4,2
14472,325,4,2
14473,475,2,2
14474,475,2,1
14475,75,1,1
14476,0,1,1
14477,0,1,1
14478,0,1,1
14479,0,2,2
14480,0,2,1
14481,0,1,1
14482,0,1,1
14483,400,3,1
14484,400,3,2
14485,400,3,2
14486,21000,5,1
14487,21000,5,2
14491,0,3,1
14492,0,3,2
14493,0,3,2
14494,75,1,1
14495,125,4,1
14496,125,4,2
14497,125,4,2
14499,0,1,1
14500,2200,2,2
14501,2200,2,1
14502,0,2,2
14503,0,2,1
14504,0,3,1
14505,0,3,2
14507,0,2,2
14508,0,2,1
14509,50,1,1
14510,0,1,1
14511,0,1,1
14512,275,1,1
14513,0,4,1
14514,0,4,2
14517,0,1,1
14518,6100,2,2
14519,6100,2,1
14520,0,1,1
14521,100,2,2
14522,100,2,1
14523,0,1,1
14524,0,1,1
14525,0,2,1
14527,2000,4,2
14528,2000,4,1
14529,2000,4,2
14531,0,1,1
14532,0,1,1
14533,100,1,1
14534,150,2,2
14535,150,2,1
14536,0,1,1
14537,0,2,1
14538,0,2,2
14539,275,2,1
14540,275,2,2
14541,0,3,1
14542,0,3,2
14544,175,1,1
14545,75,4,1
14546,75,4,2
14549,0,2,1
14550,0,2,2
14551,100,5,1
14552,100,5,2
14556,0,1,1
14557,0,1,1
14558,0,1,1
14559,325,5,2
14560,325,5,1
14561,325,5,2
14562,325,5,2
14564,0,1,1
14565,55825,2,2
14566,55825,2,1
14567,125,2,1
14568,125,2,2
14569,0,1,1
14570,0,2,2
14571,0,2,1
14572,1750,2,1
14573,1750,2,2
14574,0,2,2
14575,0,2,1
14576,0,1,1
14577,0,1,1
14578,0,1,1
14579,275,2,2
14580,275,2,1
14581,850,2,1
14582,850,2,2
14583,4200,2,2
14584,4200,2,1
14585,0,4,1
14586,0,4,2
14588,0,4,2
14589,0,2,1
14590,0,2,2
14591,0,5,2
14592,0,5,1
14596,0,3,1
14597,0,3,2
14599,0,2,2
14600,0,2,1
14601,175,1,1
14602,0,1,1
14603,1200,1,1
14604,0,2,2
14605,0,2,1
14606,100,2,2
14607,100,2,1
14608,100,4,1
14609,100,4,2
14612,700,1,1
14613,0,2,1
14614,0,2,2
14615,0,2,1
14616,0,2,2
14617,3600,2,1
14618,3600,2,2
14619,1400,2,1
14620,1400,2,2
14621,0,1,1
14622,0,2,1
14623,0,2,2
14624,800,2,2
14625,800,2,1
14626,0,4,1
14627,0,4,2
14630,0,1,1
14631,0,1,1
14632,6250,1,1
14633,0,3,1
14634,0,3,2
14635,0,3,2
14636,175,1,1
14637,0,5,1
14638,0,5,2
14639,0,5,2
14642,-40000,2,1
14643,-40000,2,2
14644,2800,2,2
14645,2800,2,1
14646,200,3,2
14647,200,3,1
14648,200,3,2
14649,0,4,2
14650,0,4,1
14653,4250,2,1
14654,4250,2,2
14655,0,3,2
14656,0,3,1
14658,50,6,2
14659,50,6,1
14664,4275,3,2
14665,4275,3,2
14666,4275,3,1
14667,1875,2,1
14668,1875,2,2
14669,-75,2,1
14670,-75,2,2
14671,200,1,1
14672,0,3,1
14673,0,3,2
14674,0,3,2
14675,0,4,1
14676,0,4,2
14679,50125,4,1
14680,50125,4,2
14683,0,2,1
14684,0,2,2
14685,0,6,2
14686,0,6,1
14691,0,2,2
14692,0,2,1
14693,0,1,1
14694,1900,1,1
14695,33500,2,1
14696,33500,2,2
14697,0,2,1
14698,0,2,2
14699,0,2,1
14700,0,2,2
14701,0,1,1
14702,0,1,1
14703,300,2,1
14704,300,2,2
14705,0,2,1
14706,0,2,2
14707,0,1,1
14708,0,2,1
14710,0,1,1
14711,33000,3,1
14712,33000,3,2
14713,33000,3,2
14714,0,1,1
14715,0,2,1
14716,0,2,2
14717,0,1,1
14718,0,4,2
14719,0,4,1
14722,0,1,1
14723,6575,2,1
14724,6575,2,2
14725,0,1,1
14726,0,3,2
14727,0,3,1
14729,0,4,1
14730,0,4,2
14731,0,4,2
14732,0,4,2
14733,3800,1,1
14734,0,5,2
14735,0,5,1
14736,0,5,2
14739,0,5,2
14740,0,5,1
14744,75,1,1
14745,675,3,2
14746,675,3,1
14748,0,1,1
14749,0,6,2
14750,0,6,1
14755,325,1,1
14756,0,6,2
14757,0,6,1
14762,50,2,1
14763,50,2,2
14764,0,2,1
14765,0,2,2
14766,0,3,1
14767,0,3,2
14768,0,3,2
14769,0,1,1
14770,0,3,1
14773,0,3,1
14776,950,3,2
14777,950,3,1
14779,0,2,1
14780,0,2,2
14781,0,2,1
14782,0,2,2
14783,0,5,1
14784,0,5,2
14788,190000,2,1
14789,190000,2,2
14790,0,2,1
14791,0,2,2
14792,325,2,1
14793,325,2,2
14794,-2650,2,1
14795,-2650,2,2
14796,225,4,2
14797,225,4,1
14798,225,4,2
14799,225,4,2
14800,125,1,1
14801,0,4,2
14802,0,4,1
14805,0,4,1
14806,0,4,2
14807,0,4,2
14808,0,4,2
14809,50,3,1
14810,50,3,2
14811,50,3,2
14812,8600,2,1
14813,8600,2,2
14814,0,2,1
14815,0,2,2
14816,25,3,2
14817,25,3,2
14818,25,3,1
14819,0,5,1
14820,0,5,2
14821,0,5,2
14824,77500,1,1
14825,50,5,1
14826,50,5,2
14830,0,3,1
14831,0,3,2
14832,0,3,2
14833,0,3,1
14836,850,1,1
14837,0,1,1
14838,0,2,2
14839,0,2,1
14840,0,2,2
14841,0,2,1
14842,425,1,1
14843,0,2,1
14844,0,2,2
14845,0,2,2
14846,0,2,1
14847,0,1,1
14848,0,2,1
14850,0,2,1
14851,0,2,2
14852,25,2,1
14853,25,2,2
14854,125,2,1
14855,125,2,2
14856,75,2,2
14857,75,2,1
14858,0,2,1
14859,0,2,2
14860,50,4,2
14861,50,4,1
14862,50,4,2
14863,50,4,2
14864,-3500,2,2
14865,-3500,2,1
14866,0,2,2
14867,0,2,1
14868,110000,2,2
14869,110000,2,1
14870,67675,2,2
14871,67675,2,1
14872,0,2,2
14873,0,2,1
14874,275,2,2
14875,275,2,1
14876,0,1,1
14877,0,4,1
14878,0,4,2
14881,100,2,1
14882,100,2,2
14883,0,2,1
14884,0,2,2
14885,0,1,1
14886,0,1,1
14887,0,1,1
14888,0,1,1
14889,0,4,1
14890,0,4,2
14893,8000,1,1
14894,0,1,1
14895,0,2,1
14896,0,2,2
14897,250,3,2
14898,250,3,1
14900,75,2,2
14901,75,2,1
14902,0,2,2
14903,0,2,1
14904,1850,1,1
14905,0,1,1
14906,0,2,1
14907,0,2,2
14908,550,2,1
14909,550,2,2
14910,8550,2,2
14911,8550,2,1
14912,0,1,1
14913,8500,2,1
14914,8500,2,2
14915,0,4,1
14916,0,4,2
14919,0,1,1
14920,3200,2,1
14921,3200,2,2
14922,6000,1,1
14923,190000,2,1
14924,190000,2,2
14925,0,1,1
14926,4300,4,2
14927,4300,4,1
14929,4300,4,2
14930,0,1,1
14931,4800,4,1
14932,4800,4,2
14934,4800,4,2
14935,0,2,2
14936,0,2,1
14937,4200,1,1
14938,3900,4,1
14939,3900,4,2
14942,0,2,1
14943,0,2,2
14944,0,1,1
14945,0,2,1
14946,0,2,2
14947,200,2,1
14948,200,2,2
14949,1400,1,1
14950,25,1,1
14951,4700,1,1
14952,0,1,1
14953,0,1,1
14954,0,1,1
14955,0,2,1
14957,650,2,1
14958,650,2,2
14959,0,4,1
14960,0,4,2
14963,0,5,2
14964,0,5,1
14968,17250,3,2
14969,17250,3,1
14970,17250,3,2
14971,0,2,1
14972,0,2,2
14973,0,4,1
14974,0,4,2
14975,0,4,2
14977,0,3,1
14978,0,3,2
14980,8500,4,1
14981,8500,4,2
14984,50,3,1
14985,50,3,2
14986,50,3,2
14987,0,4,2
14988,0,4,1
14991,0,1,1
14992,110000,1,1
14993,0,1,1
14994,0,1,1
14995,0,3,1
14998,2700,2,1
14999,2700,2,2
15000,375,1,1
15001,2500,1,1
15002,0,1,1
15003,0,4,1
15004,0,4,2
15005,0,4,2
15007,10000,1,1
15008,0,1,1
15009,0,1,1
15010,0,3,2
15011,0,3,1
15013,0,1,1
15014,0,1,1
15015,0,2,2
15016,0,2,1
15017,300,2,2
15018,300,2,1
15019,0,2,2
15020,0,2,1
15021,0,3,1
15022,0,3,2
15023,0,3,2
15024,400,3,2
15025,400,3,1
15027,0,4,1
15028,0,4,2
15029,0,4,2
15030,0,4,2
15031,125,5,2
15032,125,5,1
15033,125,5,2
15036,0,2,1
15037,0,2,2
15038,0,1,1
15039,0,1,1
15040,425,2,1
15041,425,2,2
15042,1950,1,1
15043,0,2,1
15044,0,2,2
15045,550,1,1
15046,50,3,2
15047,50,3,1
15048,50,3,2
15049,300,2,1
15050,300,2,2
15051,0,3,2
15052,0,3,1
15054,0,3,1
15055,0,3,2
15056,0,3,2
15057,0,4,2
15058,0,4,1
15061,5750,3,1
15062,5750,3,2
15063,5750,3,2
15064,7000,2,1
15065,7000,2,2
15066,42000,2,2
15067,42000,2,1
15068,0,3,2
15069,0,3,1
15071,0,2,1
15073,0,1,1
15074,0,4,2
15075,0,4,1
15078,0,1,1
15079,0,3,1
15082,0,1,1
15083,150,1,1
15084,875,1,1
15085,0,1,1
15086,25,4,1
15087,25,4,2
15090,3550,2,1
15091,3550,2,2
15092,2600,1,1
15093,0,4,2
15094,0,4,1
15097,100,1,1
15098,0,4,2
15099,0,4,1
15102,0,2,1
15103,0,2,2
15104,0,2,2
15105,0,2,1
15106,350,1,1
15107,0,2,2
15108,0,2,1
15109,275,4,1
15110,275,4,2
15112,275,4,2
15113,325,1,1
15114,0,2,1
15115,0,2,2
15116,11025,2,2
15117,11025,2,1
15118,0,2,1
15119,0,2,2
15120,16500,2,1
15121,16500,2,2
15122,150,2,1
15123,150,2,2
15124,0,2,2
15125,0,2,1
15126,0,1,1
15127,50,3,2
15128,50,3,1
15129,50,3,2
15130,0,1,1
15131,350,1,1
15132,525,1,1
15133,0,2,2
15134,0,2,1
15135,0,1,1
15136,32000,4,2
15137,32000,4,2
15138,32000,4,1
15139,32000,4,2
15140,0,3,2
15141,0,3,1
15142,0,3,2
15143,0,3,1
15144,0,3,2
15145,0,3,2
15146,225,2,1
15147,225,2,2
15148,86000,2,1
15149,86000,2,2
15150,5000,4,2
15151,5000,4,1
15152,5000,4,2
15154,0,2,1
15155,0,2,2
15156,1025,2,1
15157,1025,2,2
15158,0,1,1
15159,0,2,2
15160,0,2,1
15161,0,1,1
15162,0,2,2
15163,0,2,1
15164,11500,3,1
15165,11500,3,2
15167,0,2,1
15169,50,2,1
15170,50,2,2
15171,250,1,1
15172,60000,6,2
15173,60000,6,1
15174,60000,6,2
15175,60000,6,2
15176,60000,6,2
15177,60000,6,2
15178,0,1,1
15179,0,2,2
15180,0,2,1
15181,0,1,1
15182,275,2,2
15183,275,2,1
15184,0,4,1
15185,0,4,2
15188,1150,3,2
15189,1150,3,1
15191,0,3,2
15192,0,3,1
15193,0,3,2
15194,100,1,1
15195,0,3,2
15196,0,3,2
15197,0,3,1
15198,225,2,1
15199,225,2,2
15200,0,1,1
15201,0,4,1
15202,0,4,2
15205,1800,1,1
15206,0,1,1
15207,2900,1,1
15208,450,1,1
15209,0,6,2
15210,0,6,1
15215,0,3,2
15216,0,3,1
15218,0,1,1
15219,7000,3,2
15220,7000,3,2
15221,7000,3,1
15222,0,1,1
15223,0,1,1
15224,200,1,1
15225,0,3,1
15226,0,3,2
15228,10750,2,1
15229,10750,2,2
15230,0,1,1
15231,0,2,1
15232,0,2,2
15233,0,1,1
15234,0,5,1
15239,4050,2,2
15240,4050,2,1
15241,0,7,2
15242,0,7,1
15248,0,1,1
15249,12800,2,1
15250,12800,2,2
15251,725,2,2
15252,725,2,1
15253,300,3,2
15254,300,3,1
15255,300,3,2
15256,0,4,2
15257,0,4,1
15260,0,2,1
15261,0,2,2
15262,0,2,1
15263,0,2,2
15264,0,4,2
15265,0,4,1
15268,0,4,2
15269,0,4,1
15272,0,2,2
15273,0,2,1
15274,0,4,2
15275,0,4,1
15277,0,4,2
15278,0,1,1
15279,0,2,1
15280,0,2,2
15281,0,5,1
15282,0,5,2
15283,0,5,2
15286,0,3,1
15287,0,3,2
15288,0,3,2
15289,0,1,1
15290,34000,2,1
15291,34000,2,2
15292,0,2,2
15293,0,2,1
15294,0,1,1
15295,400,1,1
15296,0,6,2
15297,0,6,1
15302,25,2,2
15303,25,2,1
15304,1050,1,1
15305,85225,2,2
15306,85225,2,1
15307,25,4,2
15308,25,4,1
15311,0,1,1
15312,0,1,1
15313,25,4,2
15314,25,4,1
15317,225,2,2
15318,225,2,1
15319,4000,1,1
15320,0,5,1
15321,0,5,2
15322,0,5,2
15323,0,5,2
15324,0,5,2
15325,0,4,2
15326,0,4,1
15329,0,1,1
15330,0,2,1
15331,0,2,2
15332,0,5,2
15333,0,5,1
15334,0,5,2
15336,0,5,2
15337,0,2,2
15338,0,2,1
15339,25,1,1
15340,0,2,1
15341,0,2,2
15342,525,1,1
15343,0,1,1
15344,-7500,4,1
15345,-7500,4,2
15347,-7500,4,2
15348,0,1,1
15349,0,2,1
15350,0,2,2
15351,0,1,1
15352,0,4,2
15353,0,4,1
15356,64000,5,1
15357,64000,5,2
15358,64000,5,2
15361,0,3,1
15364,125,1,1
15365,0,1,1
15366,0,1,1
15367,0,2,2
15368,0,2,1
15369,0,3,2
15370,0,3,1
15372,92500,1,1
15373,675,4,1
15374,675,4,2
15377,0,1,1
15378,175,2,1
15379,175,2,2
15380,0,3,2
15381,0,3,1
15383,50,5,2
15384,50,5,2
15385,50,5,2
15386,50,5,1
15387,50,5,2
15388,1350,2,1
15389,1350,2,2
15390,21000,1,1
15391,925,1,1
15392,0,1,1
15393,0,1,1
15394,4250,2,1
15395,4250,2,2
15396,0,1,1
15397,0,5,1
15398,0,5,2
15401,0,5,2
15402,325,2,1
15403,325,2,2
15404,600,2,2
15405,600,2,1
15406,0,7,1
15407,0,7,2
15408,0,7,2
15413,54000,2,2
15414,54000,2,1
15415,200,1,1
15416,0,1,1
15417,0,1,1
15418,0,1,1
15419,0,4,1
15423,0,1,1
15424,0,5,1
15425,0,5,2
15429,0,1,1
15430,125,1,1
15431,0,3,2
15432,0,3,1
15433,0,3,2
15434,0,1,1
15435,0,1,1
15436,0,3,2
15437,0,3,2
15438,0,3,1
15439,25,3,2
15440,25,3,1
15442,0,3,2
15443,0,3,2
15444,0,3,1
15445,125,2,2
15446,125,2,1
15447,0,1,1
15448,125,3,1
15449,125,3,2
15450,125,3,2
15451,0,2,2
15452,0,2,1
15453,1250,1,1
15454,0,3,1
15455,0,3,2
15457,0,2,2
15458,0,2,1
15459,0,2,1
15460,0,2,2
15461,0,3,2
15462,0,3,1
15463,0,3,2
15464,0,2,1
15466,225,6,2
15467,225,6,1
15472,0,4,2
15473,0,4,1
15476,7750,1,1
15477,34000,2,1
15478,34000,2,2
15479,0,1,1
15480,0,1,1
15481,0,1,1
15482,7250,4,1
15483,7250,4,2
15486,0,1,1
15487,0,1,1
15488,0,1,1
15489,0,2,1
15490,0,2,2
15491,290000,1,1
15492,25,6,2
15493,25,6,1
15498,0,1,1
15499,0,1,1
15500,0,1,1
15501,-4550,4,1
15502,-4550,4,2
15505,0,4,1
15506,0,4,2
15507,0,4,2
15508,0,4,2
15509,14500,1,1
15510,0,3,1
15513,8825,5,2
15514,8825,5,1
15515,8825,5,2
15516,8825,5,2
15517,8825,5,2
15518,0,3,1
15519,0,3,2
15520,0,3,2
15521,0,2,1
15523,455000,3,1
15524,455000,3,2
15526,0,4,2
15527,0,4,1
15528,0,4,2
15529,0,4,2
15530,50,3,1
15531,50,3,2
15533,0,3,1
15534,0,3,2
15536,0,1,1
15537,1900,1,1
15538,0,4,2
15539,0,4,1
15540,0,4,2
15541,0,4,2
15542,125,2,2
15543,125,2,1
15544,0,1,1
15545,2250,2,2
15546,2250,2,1
15547,0,3,1
15548,0,3,2
15549,0,3,2
15550,0,2,1
15551,0,2,2
15552,-1300,3,2
15553,-1300,3,1
15554,-1300,3,2
15555,0,2,2
15556,0,2,1
15557,1225,2,2
15558,1225,2,1
15559,25,2,1
15560,25,2,2
15561,0,2,1
15562,0,2,2
15563,1500,1,1
15564,850,2,2
15565,850,2,1
15566,4200,1,1
15567,150,1,1
15568,4600,2,1
15569,4600,2,2
15570,50,2,1
15571,50,2,2
15572,6150,2,1
15573,6150,2,2
15574,275,4,1
15575,275,4,2
15576,275,4,2
15577,275,4,2
15578,100,4,2
15579,100,4,1
15582,275,2,1
15583,275,2,2
15584,0,3,1
15585,0,3,2
15586,0,3,2
15587,25,2,2
15588,25,2,1
15589,25,2,1
15590,25,2,2
15591,0,1,1
15592,0,1,1
15593,325,3,2
15594,325,3,1
15595,325,3,2
15596,0,2,1
15597,0,2,2
15598,0,4,1
15599,0,4,2
15602,2600,1,1
15603,0,4,1
15604,0,4,2
15605,0,4,2
15607,0,1,1
15608,0,3,1
15610,0,3,2
15611,0,1,1
15612,0,2,1
15613,0,2,2
15614,0,1,1
15615,42700,2,1
15616,42700,2,2
15617,0,5,1
15622,1350,1,1
15623,0,4,2
15624,0,4,1
15627,650,3,2
15628,650,3,1
15629,650,3,2
15630,100,4,2
15631,100,4,1
15632,100,4,2
15633,100,4,2
15634,0,1,1
15635,325,1,1
15636,0,1,1
15637,0,1,1
15638,0,2,1
15639,0,2,2
15640,0,2,1
15641,0,2,2
15642,7000,1,1
15643,0,4,2
15644,0,4,1
15647,6500,1,1
15648,225,2,2
15649,225,2,1
15650,11500,2,1
15651,11500,2,2
15652,0,3,2
15653,0,3,1
15654,0,3,2
15655,175,2,1
15656,175,2,2
15657,0,2,2
15658,0,2,1
15659,0,4,2
15660,0,4,1
15663,825,2,1
15664,825,2,2
15665,3300,1,1
15666,-2700,1,1
15667,0,1,1
15668,0,4,1
15671,0,4,2
15672,0,2,1
15673,0,2,2
15674,575,1,1
15675,950,3,1
15676,950,3,2
15677,950,3,2
15678,50,1,1
15679,22175,2,1
15680,22175,2,2
15681,4750,2,1
15682,4750,2,2
15683,0,2,1
15684,0,2,2
15685,475,2,2
15686,475,2,1
15687,0,2,2
15688,0,2,1
15689,1250,1,1
15690,0,2,2
15691,0,2,1
15692,100,4,1
15693,100,4,2
15696,2200,2,2
15697,2200,2,1
15698,0,3,1
15699,0,3,2
15701,0,3,1
15702,0,3,2
15703,0,3,2
15704,0,2,1
15705,0,2,2
15706,11000,2,2
15707,11000,2,1
15708,4900,2,2
15709,4900,2,1
15710,50,2,1
15711,50,2,2
15712,0,1,1
15713,0,1,1
15714,0,4,2
15715,0,4,1
15718,4700,2,1
15719,4700,2,2
15720,0,3,1
15721,0,3,2
15722,0,3,2
15723,0,1,1
15724,0,4,2
15725,0,4,1
15728,7750,1,1
15729,0,1,1
15730,25,4,1
15731,25,4,2
15734,0,3,2
15735,0,3,1
15737,125,1,1
15738,0,1,1
15739,0,1,1
15740,0,4,2
15741,0,4,1
15742,0,4,2
15743,0,4,2
15744,0,2,1
15745,0,2,2
15746,0,3,1
15747,0,3,2
15748,0,3,2
15749,0,1,1
15750,0,1,1
15751,0,2,1
15752,0,2,2
15753,50,3,1
15756,1175,2,1
15757,1175,2,2
15758,14750,2,1
15759,14750,2,2
15760,0,1,1
15761,125000,2,1
15762,125000,2,2
15763,0,1,1
15764,50,2,2
15765,50,2,1
15766,-1300,2,2
15767,-1300,2,1
15768,50,2,2
15769,50,2,1
15770,0,2,2
15771,0,2,1
15772,475,2,1
15773,475,2,2
15774,500,2,1
15775,500,2,2
15776,210000,1,1
15777,0,2,2
15778,0,2,1
15779,0,3,2
15780,0,3,1
15782,0,5,1
15783,0,5,2
15787,0,2,1
15788,0,2,2
15789,250,1,1
15790,0,1,1
15791,0,2,1
15792,0,2,2
15793,0,2,2
15794,0,2,1
15795,0,1,1
15796,0,1,1
15797,0,2,2
15798,0,2,1
15799,0,1,1
15800,0,2,1
15801,0,2,2
15802,175,4,1
15803,175,4,2
15804,175,4,2
15806,-5300,2,1
15807,-5300,2,2
15808,275,1,1
15809,275,3,1
15812,0,2,1
15813,0,2,2
15814,-31500,2,1
15815,-31500,2,2
15816,0,2,1
15817,0,2,2
15818,0,1,1
15819,14500,2,2
15820,14500,2,1
15821,46000,2,2
15822,46000,2,1
15823,16500,1,1
15824,0,2,2
15825,0,2,1
15826,76000,2,2
15827,76000,2,1
15828,0,1,1
15829,0,1,1
15830,13500,1,1
15831,9550,2,2
15832,9550,2,1
15833,50,2,1
15834,50,2,2
15835,25,4,1
15836,25,4,2
15837,25,4,2
15838,25,4,2
15839,0,1,1
15840,11550,4,2
15841,11550,4,1
15844,0,3,2
15845,0,3,1
15846,0,3,2
15847,0,3,2
15848,0,3,1
15850,0,2,1
15851,0,2,2
15852,0,1,1
15853,0,3,2
15854,0,3,1
15855,0,3,2
15856,825,3,2
15857,825,3,1
15858,825,3,2
15859,200,2,1
15860,200,2,2
15861,0,1,1
15862,100,4,1
15863,100,4,2
15864,100,4,2
15866,3875,2,2
15867,3875,2,1
15868,0,2,2
15869,0,2,1
15870,850,1,1
15871,1100,2,2
15872,1100,2,1
15873,50,2,2
15874,50,2,1
15875,0,5,1
15876,0,5,2
15877,0,5,2
15880,600,3,2
15881,600,3,1
15883,3300,1,1
15884,0,2,1
15885,0,2,2
15886,0,2,2
15887,0,2,1
15888,0,2,1
15889,0,2,2
15890,21300,2,2
15891,21300,2,1
15892,8900,3,2
15893,8900,3,1
15895,300,1,1
15896,0,1,1
15897,0,3,1
15898,0,3,2
15899,0,3,2
15900,0,2,1
15901,0,2,2
15902,0,3,1
15903,0,3,2
15904,0,3,2
15905,4000,1,1
15906,2800,1,1
15907,0,2,1
15908,0,2,2
15909,50,2,1
15910,50,2,2
15911,0,4,1
15912,0,4,2
15913,0,4,2
15914,0,4,2
15915,0,1,1
15916,1650,2,1
15917,1650,2,2
15918,75,4,1
15919,75,4,2
15920,75,4,2
15921,75,4,2
15922,42000,3,1
15923,42000,3,2
15924,42000,3,2
15925,14550,2,2
15926,14550,2,1
15927,23000,1,1
15928,0,1,1
15929,2700,2,1
15930,2700,2,2
15931,0,2,2
15932,0,2,1
15933,1725,2,1
15934,1725,2,2
15935,0,1,1
15936,0,5,1
15937,0,5,2
15938,0,5,2
15939,0,5,2
15940,0,5,2
15941,0,1,1
15942,1350,3,2
15943,1350,3,1
15944,1350,3,2
15945,0,1,1
15946,0,6,2
15947,0,6,1
15948,0,6,2
15952,0,4,1
15953,0,4,2
15956,0,1,1
15957,0,1,1
15958,0,3,2
15959,0,3,1
15961,0,5,1
15962,0,5,2
15966,134500,4,2
15967,134500,4,1
15970,14500,1,1
15971,425,1,1
15972,25,4,1
15973,25,4,2
15974,25,4,2
15975,25,4,2
15976,0,1,1
15977,0,1,1
15978,500,1,1
15979,0,2,1
15980,0,2,2
15981,0,5,1
15985,0,5,2
15986,575,2,2
15987,575,2,1
15988,25,3,1
15989,25,3,2
15991,0,2,2
15992,0,2,1
15993,0,1,1
15994,0,3,1
15995,0,3,2
15997,0,3,2
15998,0,3,1
15999,0,3,2
16000,-11500,2,2
16001,-11500,2,1
16002,325,2,2
16003,325,2,1
16004,0,2,1
16005,0,2,2
16006,-3100,1,1
16007,175,1,1
16008,0,3,2
16009,0,3,1
16011,225000,3,2
16012,225000,3,1
16014,0,3,1
16017,0,1,1
16018,0,2,2
16019,0,2,1
16020,125,2,1
16021,125,2,2
16022,0,3,1
16025,0,3,2
16026,0,3,1
16027,0,3,2
16028,13000,2,2
16029,13000,2,1
16030,0,3,1
16031,0,3,2
16033,50,3,1
16034,50,3,2
16035,50,3,2
16036,0,2,1
16037,0,2,2
16038,0,2,1
16039,0,2,2
16040,2200,2,2
16041,2200,2,1
16042,0,1,1
16043,0,1,1
16044,13500,2,1
16045,13500,2,2
16046,0,4,1
16047,0,4,2
16048,0,4,2
16049,0,4,2
16050,900,1,1
16051,0,4,1
16055,275,1,1
16056,13750,2,1
16057,13750,2,2
16058,0,3,1
16059,0,3,2
16061,0,6,1
16062,0,6,2
16063,0,6,2
16067,0,4,2
16068,0,4,1
16069,0,4,2
16070,0,4,2
16071,0,1,1
16072,0,1,1
16073,0,1,1
16074,0,1,1
16075,275,4,2
16076,275,4,1
16079,50,4,2
16080,50,4,1
16081,50,4,2
16083,0,2,1
16085,1650,4,1
16086,1650,4,2
16087,1650,4,2
16089,400,2,1
16090,400,2,2
16091,0,3,1
16092,0,3,2
16094,50,1,1
16095,0,2,2
16096,0,2,1
16097,-4500,2,2
16098,-4500,2,1
16099,1300,2,2
16100,1300,2,1
16101,0,2,2
16102,0,2,1
16103,0,3,2
16104,0,3,1
16106,0,1,1
16107,25,4,2
16108,25,4,1
16109,25,4,2
16111,0,5,1
16112,0,5,2
16113,0,5,2
16116,0,2,2
16117,0,2,1
16118,0,4,1
16119,0,4,2
16122,105675,2,1
16123,105675,2,2
16124,1325,2,2
16125,1325,2,1
16126,75,4,1
16127,75,4,2
16130,18500,1,1
16131,0,2,2
16132,0,2,1
16133,-3400,2,2
16134,-3400,2,1
16135,-9250,3,1
16136,-9250,3,2
16137,-9250,3,2
16138,0,1,1
16139,0,1,1
16140,0,3,1
16141,0,3,2
16143,7500,1,1
16144,0,2,2
16145,0,2,1
16146,0,1,1
16147,0,1,1
16148,0,2,1
16149,0,2,2
16150,0,3,2
16151,0,3,1
16153,75,1,1
16154,0,1,1
16155,2725,2,1
16156,2725,2,2
16157,0,4,1
16158,0,4,2
16161,-125,4,2
16162,-125,4,1
16163,-125,4,2
16165,0,2,2
16166,0,2,1
16167,6500,5,1
16168,6500,5,2
16172,0,7,2
16173,0,7,1
16179,0,2,2
16180,0,2,1
16181,925,1,1
16182,0,1,1
16183,25,3,1
16184,25,3,2
16186,0,3,2
16187,0,3,1
16188,0,3,2
16189,1200,2,2
16190,1200,2,1
16191,0,3,2
16192,0,3,1
16194,3800,2,2
16195,3800,2,1
16196,32000,2,2
16197,32000,2,1
16198,975,2,1
16199,975,2,2
16200,600,1,1
16201,25,1,1
16202,0,1,1
16203,0,4,1
16204,0,4,2
16207,0,3,1
16210,925,4,1
16211,925,4,2
16212,925,4,2
16213,925,4,2
16214,250,1,1
16215,0,4,2
16216,0,4,1
16219,0,2,2
16220,0,2,1
16221,175,2,1
16222,175,2,2
16223,0,4,2
16224,0,4,1
16227,0,3,2
16228,0,3,1
16230,1100,1,1
16231,0,1,1
16232,0,1,1
16233,0,2,1
16234,0,2,2
16235,750,5,1
