,EFINVA
40508,0
79113,250
20298,0
13197,225
61798,200
14528,2000
65245,0
59883,325
69062,0
15944,1350
4028,50
77665,2175
29311,0
20850,137500
59856,0
33841,0
2059,0
71077,0
56097,0
13800,150
44788,0
34440,850
72494,275
47984,46200
77648,17000
88545,0
45150,0
9984,225
31410,875
72691,0
46595,0
72014,61300
25068,0
56008,50
22790,800
63298,0
51442,0
91819,0
63734,0
13208,14750
8242,0
35013,0
92005,1750
4775,3400
9861,0
84258,11000
23069,3700
64901,0
59516,0
55357,0
11158,0
33503,2150
58888,2600
12728,75
53810,240000
12391,3200
88132,0
33646,0
47235,0
57302,50
26763,1300
79448,0
62249,0
66941,3500
81147,43650
66583,0
74667,0
44531,0
51363,0
34021,25
9394,975
11665,300
7842,2000
41924,525
18844,650
48314,0
30325,0
5560,0
69897,0
78905,18000
73401,0
83535,0
27013,0
87669,0
8503,1800
52880,1350
90995,0
9473,6300
52943,150
84851,10500
33675,0
39401,3100
42248,225
65842,0
65334,0
39470,0
57639,125
25582,0
73376,0
15291,34000
15161,0
90865,0
23275,0
41654,0
70435,0
47183,175
81028,0
20565,50
37740,1575
89790,36000
40224,0
23895,5000
18725,0
86503,25
89660,0
84685,0
21307,3550
76918,600
39400,3100
38196,0
59633,0
55584,150
81240,0
43634,0
2630,0
71167,1400
68355,0
36046,0
77872,0
31478,9275
46430,71000
7531,0
85601,0
16936,600
35019,775
11495,0
29616,0
51558,31000
10034,75
70554,0
30355,0
5782,0
11713,0
32730,0
69864,0
16363,0
54446,50
59010,0
47036,50
6878,50
36521,0
50928,0
85266,375
57546,0
29609,0
47971,0
90805,0
35902,0
10413,0
9988,0
34927,0
85816,0
56054,31000
3474,0
54099,0
87386,0
72729,0
16262,0
8623,6600
85744,72500
56231,0
66198,0
68052,50
18881,-1450
84953,850
55437,11000
6915,50
50433,0
10775,65000
90800,0
43101,7500
41724,-2900
51930,3600
14315,3825
84548,0
11814,5100
73944,250
61520,0
54118,25
69464,0
30485,10250
87336,5900
43951,50
38696,0
61278,8250
81081,950
81277,19000
71374,11000
74136,0
61864,250
38361,0
15175,60000
75291,0
47898,-900
80271,50
7698,0
5143,0
12520,0
89218,25
63861,0
776,2800
28552,0
77185,0
80766,0
12418,0
72168,0
80656,0
19957,0
35531,25
53588,0
30086,0
49996,525
62922,7225
10165,125
23341,0
68649,0
39594,0
60754,7500
395,4350
7383,0
90887,0
3083,525
13019,0
14478,0
44396,0
74350,135000
44738,225
46193,0
74234,0
49248,0
74693,0
30539,150
31505,53000
17248,0
30967,0
40536,0
13563,0
29590,0
77197,75
28349,0
72112,2425
53621,0
671,2100
77220,0
24121,16500
36444,0
67396,3700
59109,1450
89785,1350
44382,0
68077,4150
82022,275
78209,0
76428,0
64345,0
1680,0
19501,0
19756,0
68368,125
59062,75
43369,0
55974,50
81131,350
74668,1125
89457,0
77308,600
59460,0
43019,8250
70788,400
47707,4775
28116,0
49531,0
17642,200
86535,0
47329,25
50573,0
10111,9525
48988,0
41763,0
80629,0
