,fit_time,score_time,test_score,train_score
0,0.01476597785949707,0.001786947250366211,0.0014850917948852072,0.004340119982695345
1,0.013742685317993164,0.0017161369323730469,0.004041939787829962,0.004032010607469272
2,0.013748884201049805,0.0016908645629882812,0.0031167074394917726,0.00415586578646554
3,0.01369619369506836,0.0016968250274658203,0.003534937717064146,0.004120533310894903
4,0.013670921325683594,0.001703023910522461,0.005249554263768386,0.003909017403261661
5,0.013243913650512695,0.0017049312591552734,0.0034496594726597385,0.004093112092743434
6,0.013398170471191406,0.0016970634460449219,0.0024214563358015972,0.004224048889153731
7,0.013620853424072266,0.0017549991607666016,0.00520500191424389,0.0039384746967005
8,0.014456033706665039,0.001989126205444336,0.004789171373993817,0.003957713910478944
9,0.014043807983398438,0.0018002986907958984,0.0037589870288785576,0.004103753461687787
